X,Y,NAME,WEB_URL,LINE
-77.08713354,38.89018331,Court House,https://www.wmata.com/rider-guide/stations/court-house.cfm,"orange, silver"
-76.91181036,38.88947365,Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,"blue, orange, silver"
-77.02806852,38.88802649,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"blue, orange, silver"
-76.89411015,38.88675561,Addison Road Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-rd.cfm,"blue, orange, silver"
-77.09539641,38.88671262,Clarendon,https://www.wmata.com/rider-guide/stations/clarendon.cfm,"orange, silver"
-76.97709117,38.88671688,Stadium-Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,"blue, orange, silver"
-77.15688535,38.88596094,East Falls Church,https://www.wmata.com/rider-guide/stations/e-falls-church.cfm,"orange, silver"
-77.0158705,38.88508014,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"blue, orange, silver"
-77.0051417,38.88507028,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"blue, orange, silver"
-77.02191077,38.88484551,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"grn, yllw, orange, blue, slvr"
-77.06281243,38.88469464,Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,blue
-76.9960034,38.88463005,Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,"blue, orange, silver"
-77.22716302,38.88363291,Dunn Loring Merrifield,https://www.wmata.com/rider-guide/stations/dunn-loring.cfm,orange
-77.1029796,38.88337393,Virginia Square-GMU,https://www.wmata.com/rider-guide/stations/virginia-sq.cfm,"orange, silver"
-77.11317115,38.88219065,Ballston-MU,https://www.wmata.com/rider-guide/stations/ballston.cfm,"orange, silver"
-76.98549759,38.88127106,Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,"blue, orange, silver"
-77.27262462,38.8776089,Vienna Fairfax-GMU,https://www.wmata.com/rider-guide/stations/vienna.cfm,orange
-77.00508793,38.87648887,Navy Yard-Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,green
-77.01750749,38.87646965,Waterfront,https://www.wmata.com/rider-guide/stations/waterfront.cfm,green
-77.05371797,38.86947048,Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,"blue, yellow"
-76.99537301,38.8629709,Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,green
-77.05954122,38.86189016,Pentagon City,https://www.wmata.com/rider-guide/stations/pentagon-city.cfm,"blue, yellow"
-77.0502921,38.8579121,Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,"blue, yellow"
-77.04404458,38.85342416,Ronald Reagan Washington National Airport,https://www.wmata.com/rider-guide/stations/national-airport.cfm,"blue, yellow"
-76.95626497,38.85130916,Naylor Road,https://www.wmata.com/rider-guide/stations/naylor-rd.cfm,green
-76.9885142,38.84566548,Congress Heights,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm,green
-76.93187241,38.84397233,Suitland,https://www.wmata.com/rider-guide/stations/suitland.cfm,green
-76.97505641,38.84109356,Southern Ave,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,green
-76.91146646,38.82645412,Branch Ave,https://www.wmata.com/rider-guide/stations/branch-ave.cfm,green
-77.05366986,38.81415144,Braddock Road,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm,"blue, yellow"
-77.0608135,38.80659388,King St-Old Town,https://www.wmata.com/rider-guide/stations/king-street.cfm,"blue, yellow"
-77.07087668,38.80043321,Eisenhower Ave,https://www.wmata.com/rider-guide/stations/eisenhower-ave.cfm,yellow
-77.12911384,38.79931543,Van Dorn Street,https://www.wmata.com/rider-guide/stations/van-dorn-st.cfm,"blue, yellow"
-77.07520808,38.79392362,Huntington,https://www.wmata.com/rider-guide/stations/huntington.cfm,yellow
-77.1679725,38.76652965,Franconia-Springfield,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm,"blue, yellow"
